Vrid,panelistid,gender,AGEyears,AREA,RELIGIOSITY,QREL2,Q1,Q2,Q3,Q1A,Q1B,Q2A,Q2B,Q3A,Q3B,Q4A,Q4B,Q5A,Q5B,QCHECK,Q6A,Q6B,Q7A,Q7B,Q8A,Q8B,Q9A,Q9B,Q10A,Q10B,EDUCATION,FAMILYNUMBER,FAMILYSTATUS,SELFINCOME,FAMILYINCOME,Q100_19,Q100_0,Q100_1,Q100_2,Q100_3,Q100_4,Q100_5,Q100_6,Q100_7,Q100_8,Q100_9,Q100_10,Q100_11,Q100_12,Q100_13,Q100_14,Q100_15,Q100_16,Q100_17,Q100_18,PROFESSION,END
459,381920,10010,63,1,1,1,1,1970,"באיזור הדרום, גרתי אז בבאר שבע, ואבי עבד בדימונה ושם חשו אותה ביתר עוצמה.",7,כי הבנין הראשי לא ניזוק,11,בהתאם לתיאור,8,בהתאם לתיאור,12,חיי אדם,11,נזק לצריח העליון,8,12,הרס מוחלט,8,יש רק סדקים,10,הרס רב למבנה,6,לפי תיאור הנזק,7,אין אבדן גדול,6,2,8,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
585,200995,10009,71,2,1,2,2,,,8,לפי התמונה יש נזק למבנה לא נהרס לחלוטין,10,עדיין לא קרס אז יש אשפרות שיקום,7,סדק שעדיין לא מוטט את הבניין ניתן לתקן וכנראה לא גרם לנזקים בנפש,7,לא נהרס אפשר לתקן,10,הרס רציני סכנת התמוטטות,8,11,הרס רב ונפגעים בוודאות,8,סדק ניתן לתקן לחזק,10,הרס גדול למבנה וסיכויי לנפגעים,7,ניתן לשיקום ולבנייה,7,כל עוד לא הוי נפגעים אז ניתן לתקן,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,סקר חריג
220,258048,10009,72,1,1,1,1,1900,לא זוכר את השנה,7,יש הרס. אך לא מוחלט ומרבית המבנה על תילו,8,יש הרס מבני,9,מצב מסוכן לסביבה ובטח לבני האדם השוהים בו,10,פינוי בינוי היה עוזר לא?,11,אפילו מומחי שיקום לא יעזרו כאן,8,11,הרס מוחלט,9,אולי ניתן להציל המבנה,10,מבנה ישן הנזק הנראה לעין אינו חושף את הנזקים המשניים,8,אפשר לשקם ותקן,8,ועדיין ניתן לשחזר ולתקן,4,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,ממש מענין. חוויתי בשנים עבורו רעידות אדמה. אחת מהן בשנות ה90 נדמה לי ממש הרעידה את הבית וגרמה לנו להמלט למרחב הפתוח
896,131792,10009,22,2,1,1,2,,,7,אני זוכר שכיפת הסלע בעמוד הקודם נפגעה ברמת פגיעה 7.,9,"אם אני זוכר מעמודים קודמים, זה מתאים לרמת רעידת אדמה הרסנית, אם כי צריך לציין אם זה בניין חדיש או בניין ישן",5,זוכר שמתואר בתחילת העמודים ולהערכתי מתואר כרמת רעידת אדמה בינונית,9,"מתואר בניין בסכנת התמוטטות, כלומר מתאים להערכתי לרמת רעידת אדמה הרסנית שלהערכתי זה 9",9,מתאים לרמה 9 - נפילה מאסיבית של קירות וקריסה חלקית של שלד המבנה.,8,10,הרסנית מאוד - מבנים רבים הבנוים היטב מתמוטטים (נראה כי הם בנוים היטב),6,גורמת לנזק קל - סדקים דקים ונפילת חלקי טיח.,8,"מבנים ישנים וחלשים העלולים להתמוטט ובחלק מהמבנים הרגילים מתרחשת נפילה מאסיבית של קירות, לכן להערכתי מתאים לרמה 8.",6,גורמת לנזק קל שאינו בשלד המבנה - סדקים קלים בקצה הצריח במגדל דוד.,8,כנסיית הקבר היא כנסייה ישנה ולכן מבנים ישנים וחלשים עלולים להתמודד - מתאים לדרגה 8.,3,5,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,לא שמתי לב לכותרת - תזכורת-כללים לקביעת דרגת הנזק לאורך 3 השאלות הראשונות בקביעת דרגות.
553,613457,10009,24,1,1,4,1,2019,צפת (רחוב צה'ל),7,כיון שהצריח (ככל הנראה ישן) נפל,8,"למרות שלא מוזכר האם הבניין ישן או חדש, אני מניח שהוא ישן. אם כן הנזק מתאים לדרגה 8",7,סדק בנקודה חלשה,8,המבנה עלול להתמוטט,8,מבנה שנסדק באופן קשה (אם המבנה היה חדש באותה תקופה הנזק הוא 9,8,10,בנין (שנראה די חדש לתקופה ע'פ איכות הצילום) התמוטט חלקית (ספק דרגה 9),7,סדקים בלבד בבניין שאינני יודע אם הוא חדש,7,אין לי איך לענות על השאלה כיון שאני משתמש באינטרנט כשר והתמונה חסומה,6,נזק קל למבנה,7,נזק בינוני למבנה,1,5,2,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"לא צוין במרבית המקרים האם הבניינים שניזוקו היו חדשים או ישנים וכן האם היו בנויים היטב או לא, מה שמקשה על הערכת הנזק."
202,35569,10009,41,3,1,2,1,2003,רמת גן,7,עושה רושם שהמבנה ניזוק,9,נגרם נזק קשה והוא קרוב לקריסה,7,לפי תיאור הנזק,8,נזק קשה לבניין,8,נזק רב וסדק,8,11,הבניין נהרס,7,נגרם נזק למבנה,9,"המבנה הרוס חלקית, יתכן וכבר מסוכן להכנס אליו",7,נגרם נזק בינוני,8,נגרם נזק שהפך את המבנה למסוכן,4,4,2,,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,
699,353493,10010,49,4,1,3,1,2005,בפתח תקוה,3,ככה זה נראה נזק לא מאד גדול,12,אט זה קריסה אז זה נזק אדיר,5,זה רק סדק,10,סכנה,9,סכנת התמוטטות,8,11,הבנין הרוס כולו,6,יש סדקים אבל עדין לא התמוטט,9,מקום חשוב  ולכן הנזק גדול נראה שבתים רבים נהרסו,6,סדקים אפשר לתקן,6,יסגרו  את המקום עד לשייפוץ וחיזוק,5,5,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,
1080,562552,10009,28,3,1,2,1,2000,ירושלים,4,נפילה,8,מדובר ב,6,חצי פגיעה במקום,10,הרג התמוטטות,9,חלק מקיר,8,11,הרס טוטאלי,7,מדב,8,חלק מהקיר עוד עומד,6,חלק,4,לא נזק רב אלא,3,2,2,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
537,609970,10009,72,1,1,1,1,1988,טוקיו,6,יש נזק ריסוק במבנה,6,צריח המינרט נהרס,6,גורם נזק מעשי לא גדול מדי,7,נזק חמור,7,נזק רציני מבחינת ההרס,8,7,נזק חמור . תלוי המרחק מנקודת הרעש,6,סדק ולא הרס,7,נזק חמור,7,לא מתאים ל 8,7,מתוך ניסיון של רעידת האדמה בעיר כריסטצרץ. בניו זילנד שהייתי שם,5,2,8,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,השאלות על רעידות האדמה צריכות לכלול את נקודת מרכז הרעש מהמבנה הפגוע
716,215648,10010,36,2,1,4,1,2004,בירושלים,7,"נראה שהנזקים למבנה קלים, ולא חמורים מאד",10,לפי הסולם - הדרגה היא בין 9 ל10. לפי המתואר - קרוב לקריסה מוחלטת - אפשר להבין שמדובר ב10,8,הסדקים מתאימים לחומרה 8.,9,"המגדל 'רק' נמצא בסכנת התמוטטות, הוא לא התמוטט. מנגד, יש הרס רב. מתאים לדרגה 9",9,נזק לשלד המבנה וקריסה חלקית,8,10,"המבנה הממוטט נראה תקני, אבל לא כל המבנים התמוטטו",7,רק סדק? נו נו.,1,"התמונה חסומה לי עקב החסימה, מצטערת.  יש לי 9 ריבועים, כל אחד בגוון אחר של אפור.",6,"קצה הצריח, תזוזה של אבנים שאינן חלק מהשלד",8,"הסדקים בקירות, עקב כך המבנה לא בטיחותי",4,3,2,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,הסקר היה מרתק! (וחבל שלא כל הסקרים כמוהו...)
297,141336,10010,66,1,1,1,1,1984,ישראל . באיזור צפון המדינה,9,הרס מבנים זו דרגה גבוה של רעידת אדמה,10,הרס מסוכן למבנה ולאנשים,10,סדק יכול להיות מסוכן בעתיד,11,יש פגיעה קטלנית . בן אדם נהרג,11,הרס מבנה,8,11,הכל נהרס . נזק מוחלט,9,הנזק יהיה מסוכן בעתיד,12,הכל נהרס. אין בית,8,רק תזוזת אבנים - נזק בינוני,9,סדק מסוכן לעתיד המבנה,5,2,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,
721,329279,10009,45,3,1,4,1,1996,"ראשית אני לא זוכר במדויק זה היה כשהיינו בישיבה, קמנו בבוקר כשהייתה רעידת אדמה באזור בני ברק",4,לא נראה הרס רב,1,לא מופיע תמונה,3,"כי אם המתואר הוא סדקים, ועוד במבנים ישנים כנראה שהרעידה רק גרמה לסדקיעם",7,א. כי אבנים התגלגלו  ב. המבנה לא היה ניתן לשיקום  ג. אך מצד שלישי המבנה כנראה היה מאוד ישן ולכן לא היה ניתן לשקמו לכן בחרתי 7 ולא יותר,7,"עדיין לא נראה הרס רב, ועדיים מבנה ישן שכל רעידה בינונית ממיטה אותו",8,9,עדיין יש מבנים על ידו שנשארו עומדים כנראה שבנין זה נבנה יותר חלש,5,רק סדק,7,קשה לאמוד במבבנה ישן,6,מבנים ישנים ההשםפעה גדולה יותר ולא מחייב שהייתה רעידה חזקה,5,מבנה ישן,2,14,2,,5,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,6,היו חסרות תמונות וזה הקשה על הזיהןוי
825,494384,10009,75,1,1,1,1,1985,חיפה,6,"איכות בניה ירודה, הצריח כמעט ולא נפגע, הגג של המסגד נראה הרוס.",12,"הבניין אינו מתאים לשיקום, יש להרוס אותו.",12,"סדק לכל אורך המבנה, מבנה מסוכן",12,הבניין בסכנת התמוטטות.,7,"הצריח של המנזר קרס, היסוד של המבנה נראה ששרד את הרעידה.",8,8,"מבנה אחד קרס לחלוטין, המבנה השני כנראה שרד.",9,נראה שהמבנה ניתן לשקום.,12,"מבנה הרוס לחלוטין, נראה דרגה 7 בסולם ריכטר.",8,המבנה שוחזר.,9,"העובדה שהמעבדה באוניברסיטה העברית קרסה, וגשר אלנבי יצא מכלל שימוש מראה שהיה נזק כבד.",1,1,1,3,,,,,,,,,,,,,,,,,,,,,,8,
1051,199290,10009,49,4,1,2,1,1974,מוסקבה,9,נפגע צריח וכיפה. המבנה עצמו שרד,10,כי עכשיו מתואר כי המבנה עצמו נפגע - מה שלא ניתן לראות בתמונה,9,נזק לקירות המבנה,10,"נזק בלתי ניתן לשיקום, סכנת התמוטטות למגדל",9,"המבנה עצמו שרד, אך חלקים ממנו נהרסו",8,10,קריסה כמעט מוחלטת,8,"זה סדקים , אין סכנת קריסה למבנה או לחלקים שלו",9,קרס חלק אינטגרלי של המבנה,9,קריסה חלקית מאוד,8,אין קריסה של מבנה. אלא רק סדקים. התיאור של האוניברסיטה העברית לא נכון,5,4,2,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,האוניברסיטה העברית נמצאת על הר הצופים ולא על הר הזיתים
617,227973,10009,91,1,1,3,1,1990,כשעבדתי בטלרד בלוד במאה הקודם,9,אמנם יש נזק ניכרת אבל הבינין  והמינרט עדיין עומדים,11,לו הייתה קריסה מוחלטת הייתי בוחר ב- 12. כאן זה רק קרוב לקריסה לפי זה  כתבתי 11,10,לא נראה לי שהבינן בסכנת קריסה,11,הבניין לא ניתן לשקם והמגדל הוא בסכנת התמוטטות,10,"הבניין באמצה ניזוק קשה, אבל היתר לא",8,11,הבניין התמוטט כמעט כליל,6,הנזק לא כל כך גדול,11,לפי כמות האבנים התמוטט חלק גדול של הבניין.,9,רק קצה המינרט ניזוק,8,הנזק לא כל כך גדול,4,2,2,,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,בנוגע לשאלת שנת הרעדת האדמה כתבתי 1990. אבל איני בטוח שזה היה באותו שנה. זה רק בערך. השאלון לא נתן לי אפשרות לכתוב בערך
347,233509,10010,33,3,1,3,1,1996,"אני חןשבת בשנה הזו. רעידה קטנה, באזור ירושלים",7,חלק מהמבנה ניזוק מהרעידה,10,הנזק גדול מאוד אבל עדיין לא חורבן,8,הבניין ניזוק בצורה בינונית,11,נזק גדול מאטוד מאוד,9,המבנה ניזוק קשות,8,9,המבנה ניזוק אך לא נהרס,7,הכנסייה נהרסה בסדקים,8,לפי מה שאני זוכרת שנאמר,7,המבנה ניזוק קלות,10,מבנה ניזוק מאוד,4,5,2,,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,
490,501945,10010,41,2,1,2,2,,,4,"לא נראה נזק ממשי לבניין , האדמה לא סדוקה  אין שברי אבנים",10,"לפי המשפט יש נזק בצורה קשה , הוא קרוב לקריסה , אך עדיין לא קרס. יכול להיות גרוע יותר.",8,יש סדק רציני שהופך את המבנה ללא יציב ומסוכן,11,"יש נזק משמעותי לרכוש , יש פגיעה בנפש + מסוכנות",9,"ניתן לראות שהבניין נשבר , אבנים על האדמה , אבל היא לא סדוקה ומבוקעת.",8,11,"עושה רושם שהיתה כאן רעידת אדמה בעוצמה חזקה מאוד , הבנין כולו נהרס עד היסוד , אבל הבניין מאחור עדיין עומד",5,הבנתי שיש רק סדקים בקירות - לא כזה נורא,7,"חלק מהבניין התמוטט , אך חלקו הימני של הבניין עדיים עומד על תילו",5,נשמע נזק קל יחסית,8,"יש נזק בכנסייה , מה שגורם לסגור אותה מחשש לקריסה",3,3,3,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,
222,4446,10009,71,1,1,2,1,1975,אזור עכו,7,,8,נזק רב,8,סדק  בבניין,9,נזק רב,10,נזק רב מאוד,8,10,נזק סבבתי רב מאוד,7,נזק של שנים רבות היה צורך לתקן,9,בניין כמעט קרס,8,מגדל נשבר,10,בנין לא שמיש,4,2,2,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
514,590685,10010,18,3,1,1,2,,,7,ככה,9,ככה,9,ככה,9,ככה,10,ככה,8,7,ככה,7,ככה,9,ככה,8,ככה,6,ככה,3,4,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
988,378828,10010,43,3,1,2,2,,,8,התרסק למעלה אי אפשר לדעת מה קורה בפנים,12,קריסה מוחלטת זה נזק אדיר,8,נגרם נזק רב,12,הבניין בסכנת התמוטטות,8,נזק רציני,8,12,הכל התמוטט,4,זה רק סדקים,7,סכנת קריסה,12,סכנת קריסה,5,סכנת קריסה,4,4,2,,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,
1251,82490,10010,45,2,1,3,1,1995,רמת גן,8,חלק מהמבנה קרס רובו נשאר,10,כי הנזק קשה והוא קרוב לקריסה,9,כי יש סדקים אבל אין קריסה,11,כי אי אפשר להשתמש במבנה . גם אם לא קרס יהיו חייבים להרוס אותו ולבנות חדש,10,חלק מהמבנה נשבר אבל לא קרס לגמרי,8,11,מבנה אחד קרס אבל לא כל המבנים קרסו,10,יש סדקים אין קריסה,11,מבנה קרס לא ניתן לגור בו,10,חלק מהמבנה נשבר אבל לא קרס,11,המבנה לא מתאים לשימוש,6,5,2,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,
1272,534088,10010,33,4,1,2,2,,,4,קצת נהרס לא הרבה,9,ניזוק בצורה קשה,7,עדיין לא נהרס קרוב,10,סכנת חיים,8,אבנים שבורות,8,9,בניין התמוטט,7,נזק קל,8,נגרם נזק,7,נגרם נזק,8,עומד ליפול,4,3,2,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
1249,387324,10010,32,3,1,2,2,,,6,לא נראה שהיה נזק רב,9,נשמע ממש קשה,6,נשמע נזק בינוני,9,רציני מאוד + מוות,10,נראה רציני ביותר,8,12,נראה נזק אדיר ואפילו שנהרגו אנשים בפנים,4,נשמע רק קליל,7,נראה שלא נפגעו אנשים,5,לא נשמע מזיק,7,נשמע מסוכן,5,2,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
1637,620045,10009,21,2,1,1,2,,,8,.,9,.,7,.,11,.,9,.,8,12,הכל הרוס,5,.,8,.,5,.,4,.,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,
793,286944,10009,31,3,1,1,2,,,7,הרס חלקי,8,קרוב חהרס,6,-,9,Serious,8,נראה הררוס,8,11,הכל הרוס,5,סדק,5,מכות קלות,7,גג הרוס,6,Unsafe,4,1,1,5,,,,,,,,,,,,,,,,,,,,,,6,
194,159749,10010,73,3,1,1,1,2003,הייתי בבית במיטה והרגשתי שהמיטה זזה קלות,7,הבנין לא התמוטט,6,היה נזק בבנין נפלו לבנים,5,אולי ניתן לתיקון,9,הבנין יתמוטט בודאות,8,עדיין יש חלקים שלמים,8,10,הכל התמוטט כמעט לגמרי,9,אולי זה בלתי הפיך,10,הריסות רבות,7,לא נזק שלא ניתן לתקן,10,אין דרך חזרה,6,2,2,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
195,557737,10010,47,3,1,1,2,,,9,"יש הרס וצורך בתיקון רב, אבל לא כל המסגד נפל",6,"כי לפי התמונה ניתן לתקן ולסדר, לא נראה כי על סף קריסה מוחלטת",10,כי יש סדק בנקודות חלשות שיכול להיות שיובילו לקריסה,12,הרס בלתי ניתן לשיקום,11,נראה הרס גדול וקשה לשיקום,8,12,הרס מוחלט,7,נראה שאת הסדקים ניתן לתקן,11,רואים הרס רב שלא ניתן לשקם,6,נראה כי מדובר בנזק שניתן לשקם,11,"מבנה שלא בטיחותי, לדעתי אינו ניתן לשיקום",6,3,1,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
196,611952,10010,18,5,1,2,2,,,7,מבנה הבנוי היטב ונראה ברובו שלם למעט נפילת חלקי אבן וטיח באזור העליון,8,ערעור ונזק גדול למבנה ומבניםחלשים יכולים להתמוטט,7,סדק חוצה את הנקודה החלשה ביותר – החיבורים- עלול להוביל להתמוטטות של קירות ולגרום לנזק בינוני,9,נזק משמעותי שמסכן חיי אדם,7,,8,9,בניינים ישנים וחלשים מתמוטטים וניתן לראות ברקע שיש בניין סמוך שעדיין עומד,6,,10,,7,,6,,4,5,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
197,154923,10009,37,2,1,1,1,2004,הייתי בבית.,9,"זה מה שהופיע קודם, למיטב זכרוני",8,קריסה,7,ד,9,מוות,8,נזק לבניין,8,8,נזק,6,,6,,6,,6,,3,4,2,,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
200,352846,10010,27,5,1,1,1,2016,אריאל,5,הבסיס עוד עומד,10,קריסה מוחלטת של המבנה,5,"בין שני חריצים, הגיוני שיהיה נזק",12,מוות של אדם שנלכד,7,"הכל עוד עומד, רק נסדק מאוד",8,12,נהרס כליל,2,לא נשמע נורא,5,בית מגורים,6,רק הקצה נשבר ואבנים רק זזו,4,,5,4,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
205,516746,10010,75,3,1,1,2,,,7,ככה זה נראה,10,קריסה היא נזק אדיר,9,פגיעה בנקודה חלשה,10,לא ניתן לשקם,5,,8,12,הרס מוחלט,6,סדקים,10,הרס מוחלט,10,הצריח נשבר,7,לא בטיחותי,4,1,3,1,,,,,,,,,,,,,,,,,,,,,,6,
208,41947,10009,79,3,1,1,2,1,,7,אין הרבה נזק,7,נראה בסדר,8,כך נראה,10,לא ניתן לתיקון,12,לא ניתן לתיקון,8,12,הרוס,9,ניתן לתיקון,10,הרוס,7,ניתן לתיקון,7,נזק חריף,5,2,5,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
209,206542,10009,33,3,1,1,1,1995,כוכב יאיר,6,"נגרם נזק שנראה קל, למבנה הבנוי היטב",10,מבנה בנוי היטב שהגיע כמעט לקריסה מוחלטת,4,נזק קל לפנים מבנה רגיל,10,"חפצים ודברים קורסים במידה של אבידות בנפש, נזק כבד שנגרם לבניין שאני מתאר שהיה יציב (בניין שלטון)",9,פגיעה קשה למבנה בנוי היטב,8,11,מבנה שקרס כליל עקב הרעידה,4,נזק קל למבנה,8,נזק בינוני למבנה,8,נזק משמעותי למבנה ללא אבידות בנפש,5,נזק מעט משמעותי יותר מנזק קל במבנה,5,2,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
210,587665,10009,56,4,1,3,1,2019,ירושלים,8,בגלל הנזק לצריח,10,אם הוא קרוב לקריסה אז הרוב של הבנינים נפגע קשות,9,מדובר בבניין ישן,10,קריסה,9,רק מבנה לא חזק נסדק,8,10,אמנם מרבית בנינים נפגעו אולם הם לא היו בנויים היטב,10,רוב המבנים נפגעו,9,הכל נראה  הרוס,9,לא הרס טוטאלי,9,מבנה הבנוי היטב נהרס,4,7,2,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,
211,118832,10009,56,1,1,1,2,,,6,,7,,7,,7,,8,,8,9,,8,,8,,8,,7,,4,6,2,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,
